"FileName","FullPath","SizeKB","Reason"
"2IPDHY3F__Diapositiva703.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2IPDHY3F__Diapositiva703.JPG","137.4","Could not parse NFT number from filename"
"2JBJR4QX__Diapositiva652.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2JBJR4QX__Diapositiva652.JPG","123.7","Could not parse NFT number from filename"
"2K9VW3H9__Diapositiva149.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2K9VW3H9__Diapositiva149.JPG","36","Could not parse NFT number from filename"
"2KA83YRM__Diapositiva772.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2KA83YRM__Diapositiva772.JPG","70.6","Could not parse NFT number from filename"
"2KHBWYQE__Diapositiva575.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2KHBWYQE__Diapositiva575.JPG","96","Could not parse NFT number from filename"
"2KXY956R__Diapositiva614.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2KXY956R__Diapositiva614.JPG","32.6","Could not parse NFT number from filename"
"2M5UZ77U__Diapositiva113.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2M5UZ77U__Diapositiva113.JPG","105.3","Could not parse NFT number from filename"
"2NEM6BFT__Diapositiva612.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2NEM6BFT__Diapositiva612.JPG","102.6","Could not parse NFT number from filename"
"2NSIHZ6G__Diapositiva637.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2NSIHZ6G__Diapositiva637.JPG","79.2","Could not parse NFT number from filename"
"2P74R5KM__Diapositiva466.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2P74R5KM__Diapositiva466.JPG","134.8","Could not parse NFT number from filename"
"2PAQGVMU__Diapositiva74.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2PAQGVMU__Diapositiva74.JPG","123.8","Could not parse NFT number from filename"
"2PYWAUFS__Diapositiva323.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2PYWAUFS__Diapositiva323.JPG","117.4","Could not parse NFT number from filename"
"2Q3SJGGX__Diapositiva376.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2Q3SJGGX__Diapositiva376.JPG","42.2","Could not parse NFT number from filename"
"2RISXIDU__Diapositiva254.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2RISXIDU__Diapositiva254.JPG","162","Could not parse NFT number from filename"
"2RNA2DAT__Diapositiva335.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2RNA2DAT__Diapositiva335.JPG","35.3","Could not parse NFT number from filename"
"2RS54TPA__Diapositiva267.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2RS54TPA__Diapositiva267.JPG","187.1","Could not parse NFT number from filename"
"2SPDAD9S__Diapositiva908.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2SPDAD9S__Diapositiva908.JPG","75.5","Could not parse NFT number from filename"
"2TB227T6__Diapositiva688.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2TB227T6__Diapositiva688.JPG","140.6","Could not parse NFT number from filename"
"2TBCTVH9__Diapositiva940.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2TBCTVH9__Diapositiva940.JPG","101.7","Could not parse NFT number from filename"
"2TE4QFZH__Diapositiva582.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2TE4QFZH__Diapositiva582.JPG","65.5","Could not parse NFT number from filename"
"2TEZAHPW__Diapositiva914.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2TEZAHPW__Diapositiva914.JPG","146.6","Could not parse NFT number from filename"
"2TLATLSM__Diapositiva892.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2TLATLSM__Diapositiva892.JPG","107.8","Could not parse NFT number from filename"
"2TX3U77P__Diapositiva462.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2TX3U77P__Diapositiva462.JPG","119","Could not parse NFT number from filename"
"2U68UA35__Diapositiva74.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2U68UA35__Diapositiva74.JPG","101","Could not parse NFT number from filename"
"2U9IWMU3__Diapositiva639.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2U9IWMU3__Diapositiva639.JPG","48.2","Could not parse NFT number from filename"
