"NFTNumber","DisplayTitle","FileName","FullPath","Extension","SizeKB","InExpectedRange"
"0","Light Cult Crypto Club #0","4ME3L2VI__Diapositiva0.jpg","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\4ME3L2VI__Diapositiva0.jpg",".jpg","101.9","False"
"10001","Light Cult Crypto Club #10001","KHN8T4CP__10001 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\KHN8T4CP__10001 - Light Cult Crypto Club.JPG",".JPG","130.1","False"
"10002","Light Cult Crypto Club #10002","AMDCXKP5__10002 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\AMDCXKP5__10002 - Light Cult Crypto Club.JPG",".JPG","77.1","False"
"10003","Light Cult Crypto Club #10003","K97ACWVI__10003 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\K97ACWVI__10003 - Light Cult Crypto Club.JPG",".JPG","90.8","False"
"10004","Light Cult Crypto Club #10004","3HFFSDBU__10004 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3HFFSDBU__10004 - Light Cult Crypto Club.JPG",".JPG","151.1","False"
"10005","Light Cult Crypto Club #10005","E8RV5RYS__10005 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\E8RV5RYS__10005 - Light Cult Crypto Club.JPG",".JPG","38.4","False"
