"NFTNumber","DisplayTitle","FileName","FullPath","Extension","SizeKB","InExpectedRange"
"11","Light Cult Crypto Club #11","84ASXFA2__Diapositiva11.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\84ASXFA2__Diapositiva11.JPG",".JPG","131.2","True"
"11","Light Cult Crypto Club #11","U736786B__Diapositiva11.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\U736786B__Diapositiva11.JPG",".JPG","87.2","True"
"11","Light Cult Crypto Club #11","YY8MUFTK__Diapositiva11.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\YY8MUFTK__Diapositiva11.JPG",".JPG","187.5","True"
"12","Light Cult Crypto Club #12","HVAZLM4R__Diapositiva12.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\HVAZLM4R__Diapositiva12.JPG",".JPG","102.7","True"
"12","Light Cult Crypto Club #12","L53QTKUA__Diapositiva12.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\L53QTKUA__Diapositiva12.JPG",".JPG","74.3","True"
"13","Light Cult Crypto Club #13","BTVEG2Q8__Diapositiva13.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\BTVEG2Q8__Diapositiva13.JPG",".JPG","69.1","True"
"13","Light Cult Crypto Club #13","RMDM6M7W__Diapositiva13.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\RMDM6M7W__Diapositiva13.JPG",".JPG","92.9","True"
"13","Light Cult Crypto Club #13","YYICWRGZ__Diapositiva13.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\YYICWRGZ__Diapositiva13.JPG",".JPG","64.3","True"
"14","Light Cult Crypto Club #14","J6D65PTX__Diapositiva14.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\J6D65PTX__Diapositiva14.JPG",".JPG","36.2","True"
"14","Light Cult Crypto Club #14","PSTN83JC__Diapositiva14.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\PSTN83JC__Diapositiva14.JPG",".JPG","47","True"
